Season,Team,Wins,CompWins,RookCapPct,OffCapPct,QBCapPct
2015,Baltimore Ravens,5,9.1264286,.18308267,.51498401,.12089009
2016,Baltimore Ravens,8,6.741436,.22006549,.50120288,.1600697
2017,Baltimore Ravens,9,8.8199444,.21014169,.56608117,.16784187
2018,Baltimore Ravens,10,8.6904774,.28063688,.47860783,.16168329
2019,Baltimore Ravens,14,7.0274944,.20959601,.41873413,.10623572
2020,Baltimore Ravens,11,7.2483997,.18668029,.37057909,.031743009
2021,Baltimore Ravens,8,7.8989906,.21732934,.39515397,.023341419
2022,Baltimore Ravens,10,7.3852825,.3234506,.52078438,.11986703
2023,Baltimore Ravens,13,9.1919079,.22782573,.57098264,.11684269
2024,Baltimore Ravens,12,8.0119286,.1939292,.51229954,.13482557
2011,Buffalo Bills,6,8.2775784,.32721847,.37397853,.075353421
2012,Buffalo Bills,6,7.441679,.29983982,.39394408,.074022226
2013,Buffalo Bills,6,8.8771915,.29093349,.42727709,.074424595
2014,Buffalo Bills,9,9.5679016,.28754637,.4633545,.0922786
2015,Buffalo Bills,8,6.950367,.19574296,.40479845,.044065375
2016,Buffalo Bills,7,7.7965679,.22534052,.45430994,.067562841
2017,Buffalo Bills,9,6.8600159,.15615526,.56123,.071390271
2018,Buffalo Bills,6,8.2594185,.17271312,.52007145,.085140668
2019,Buffalo Bills,10,7.3439255,.2267876,.50166327,.051635105
2020,Buffalo Bills,13,7.869854,.2024959,.48814869,.040277749
2021,Buffalo Bills,11,7.4584332,.1726875,.45321605,.073642798
2022,Buffalo Bills,13,8.8754902,.21683531,.46312216,.099215329
2023,Buffalo Bills,11,8.5303726,.11726977,.47806257,.08826191
2024,Buffalo Bills,13,9.1862946,.13681307,.52936649,.13077784
2011,Carolina Panthers,6,8.3065872,.24285355,.55958682,.044313088
2012,Carolina Panthers,7,8.4363918,.2197554,.50084531,.05056721
2013,Carolina Panthers,12,7.6877537,.25710845,.49295187,.067993686
2014,Carolina Panthers,7.5,7.7062588,.19447844,.48078647,.067467622
2015,Carolina Panthers,15,8.6810188,.15214963,.53176367,.10623805
2016,Carolina Panthers,6,8.4864826,.15789223,.58292794,.16023627
2017,Carolina Panthers,11,7.95508,.16925536,.49371094,.13119885
2018,Carolina Panthers,7,9.2227135,.14908166,.51389635,.12133555
2019,Carolina Panthers,5,9.215765,.15544267,.44212669,.13308632
2020,Carolina Panthers,5,9.4399662,.16624545,.56276715,.085859291
2021,Carolina Panthers,5,8.3257103,.27175632,.47518033,.16196936
2022,Carolina Panthers,7,7.3916683,.35252267,.55833578,.12087265
2023,Carolina Panthers,2,8.586277,.30854961,.5123632,.040431242
2024,Carolina Panthers,5,8.3738232,.19876114,.58002907,.059352312
2011,Chicago Bears,8,9.3132839,.20533599,.4291237,.092782855
2012,Chicago Bears,10,7.3123913,.15473668,.51047361,.10612854
2013,Chicago Bears,8,7.9868412,.15412579,.44716427,.089430809
2014,Chicago Bears,5,8.5587234,.17193103,.54055274,.1473963
2015,Chicago Bears,6,7.6374969,.17742243,.51963598,.12604526
2016,Chicago Bears,3,6.9254379,.26083082,.55629253,.13616529
2017,Chicago Bears,5,8.6215706,.19365875,.51657248,.13823369
2018,Chicago Bears,12,7.7755489,.24184658,.49956903,.086442523
2019,Chicago Bears,8,7.3013477,.28043133,.44822761,.078084007
2020,Chicago Bears,8,4.391036,.21224448,.48287883,.080502562
2021,Chicago Bears,6,9.0000629,.16677746,.44678777,.080329783
2022,Chicago Bears,3,8.8936863,.24581303,.42029473,.09689308
2023,Chicago Bears,7,7.8120117,.18587221,.45844072,.04354547
2024,Chicago Bears,5,6.8376369,.20058894,.48185524,.045525145
2011,Cincinnati Bengals,9,7.8548489,.34478223,.44519094,.0271609
2012,Cincinnati Bengals,10,8.302,.35832772,.41079038,.027131639
2013,Cincinnati Bengals,11,7.4189892,.23005255,.37892598,.021727508
2014,Cincinnati Bengals,10.5,8.4688644,.26461279,.42883298,.083583623
2015,Cincinnati Bengals,12,8.6215229,.21060184,.44560522,.072343297
2016,Cincinnati Bengals,6.5,7.8504391,.28802285,.46135688,.090797663
2017,Cincinnati Bengals,7,8.0974979,.2602036,.47105896,.10389171
2018,Cincinnati Bengals,6,8.8616199,.23676848,.47264832,.099086098
2019,Cincinnati Bengals,2,9.9387302,.20731184,.55739117,.095882438
2020,Cincinnati Bengals,4.5,6.0913754,.2531268,.48816136,.040343665
2021,Cincinnati Bengals,10,8.0041924,.277307,.43748888,.054100629
2022,Cincinnati Bengals,12,7.2400684,.26338908,.45256284,.055448942
2023,Cincinnati Bengals,9,8.1336422,.25993389,.51861548,.098311402
2024,Cincinnati Bengals,9,7.2646008,.20028727,.53297073,.11955085
2011,Cleveland Browns,4,6.4043884,.34347317,.54680675,.039045028
2012,Cleveland Browns,5,7.9396095,.36745632,.41058689,.035335228
2013,Cleveland Browns,4,7.5555782,.41593093,.40817156,.045957226
2014,Cleveland Browns,7,8.1952858,.30286193,.47810587,.052961908
2015,Cleveland Browns,3,8.0199947,.21700612,.43440098,.051035319
2016,Cleveland Browns,1,9.2230415,.33717394,.45761284,.12325633
2017,Cleveland Browns,0,7.9213085,.25388792,.55884743,.12777849
2018,Cleveland Browns,7.5,7.6478748,.27293238,.58393013,.14204513
2019,Cleveland Browns,6,8.4235172,.28732598,.51581359,.055996202
2020,Cleveland Browns,11,8.4960632,.30904809,.54908687,.06073783
2021,Cleveland Browns,8,6.2299175,.3864992,.65466952,.091077797
2022,Cleveland Browns,7,8.3715363,.2690154,.57638812,.15413462
2023,Cleveland Browns,11,10.463331,.16588534,.58157581,.10785525
2024,Cleveland Browns,3,9.7889709,.14402622,.53787935,.12753832
2011,Dallas Cowboys,8,9.0939064,.27228042,.48418435,.096101172
2012,Dallas Cowboys,8,9.6307487,.2433961,.50177985,.085831344
2013,Dallas Cowboys,8,6.2080154,.21500923,.443156,.11950392
2014,Dallas Cowboys,12,6.5825157,.22156623,.46924973,.10344088
2015,Dallas Cowboys,4,7.9697208,.19246136,.5245797,.14536235
2016,Dallas Cowboys,13,9.7356167,.16967089,.56244946,.15899485
2017,Dallas Cowboys,9,7.7716255,.18330531,.58016735,.084179096
2018,Dallas Cowboys,10,8.8894882,.18373676,.5526709,.063680507
2019,Dallas Cowboys,8,5.9275589,.25778478,.54347742,.016341398
2020,Dallas Cowboys,6,10.411228,.17736515,.56625718,.18754724
2021,Dallas Cowboys,12,9.2126827,.21450983,.54947972,.093433335
2022,Dallas Cowboys,12,8.5185757,.21128228,.58718717,.097992189
2023,Dallas Cowboys,12,9.3537788,.22414447,.53984237,.13461231
2024,Dallas Cowboys,7,9.1617813,.23030357,.58279455,.22046871
2011,Denver Broncos,8,5.9905357,.41050419,.29346138,.0064127962
2012,Denver Broncos,13,8.0068569,.31008878,.41898286,.14866155
2013,Denver Broncos,13,8.7098923,.25503853,.52668625,.14145628
2014,Denver Broncos,12,8.3497906,.25446838,.54970741,.13794884
2015,Denver Broncos,12,7.4274635,.21447232,.55571359,.13206668
2016,Denver Broncos,9,8.5034161,.15145423,.44411746,.047625903
2017,Denver Broncos,5,8.5232258,.1633596,.42160678,.025075849
2018,Denver Broncos,6,7.8403244,.23011245,.46007031,.10542669
2019,Denver Broncos,7,9.2739429,.21545033,.40445781,.087620579
2020,Denver Broncos,5,6.6186466,.22373578,.36920267,.091050319
2021,Denver Broncos,7,7.769207,.31904733,.41769129,.041998215
2022,Denver Broncos,5,8.4648724,.26743543,.51588601,.091246165
2023,Denver Broncos,8,9.0979004,.17877775,.51886964,.10913068
2024,Denver Broncos,10,9.0670738,.14315128,.58886808,.26176348
2011,Detroit Lions,10,8.6556587,.53862542,.56895864,.072766334
2012,Detroit Lions,4,8.4408894,.39054647,.50523865,.087276638
2013,Detroit Lions,7,8.0486832,.28648114,.56357563,.18000585
2014,Detroit Lions,11,7.4088287,.37950122,.49911088,.12865099
2015,Detroit Lions,7,7.1761818,.19627655,.5130778,.13043801
2016,Detroit Lions,9,5.6939926,.26315653,.58147144,.15776359
2017,Detroit Lions,9,7.3850288,.27712798,.45673284,.10721618
2018,Detroit Lions,6,8.6295319,.1680824,.49176648,.15636608
2019,Detroit Lions,3.5,7.9299984,.23386794,.52872944,.18111628
2020,Detroit Lions,5,7.6268291,.22867469,.45277247,.11861869
2021,Detroit Lions,3.5,8.0906525,.30237675,.50772464,.18333387
2022,Detroit Lions,9,7.0133667,.3168762,.52824277,.16090839
2023,Detroit Lions,12,9.6293888,.27354035,.5988763,.16188009
2024,Detroit Lions,15,9.9369259,.23938699,.50692999,.12648243
2011,Green Bay Packers,15,8.541378,.27860284,.50124055,.076181456
2012,Green Bay Packers,11,6.0956535,.27651992,.45440108,.075611383
2013,Green Bay Packers,8.5,6.4207935,.27731419,.48311916,.10611689
2014,Green Bay Packers,12,6.7226639,.20913273,.42176989,.14382757
2015,Green Bay Packers,10,8.2160492,.17212074,.43876263,.1405879
2016,Green Bay Packers,10,8.4666405,.1856949,.47222036,.13006195
2017,Green Bay Packers,7,7.838932,.1663419,.55336279,.12732357
2018,Green Bay Packers,6.5,7.2231827,.18165535,.58760709,.12591243
2019,Green Bay Packers,13,8.4395199,.18912043,.59631908,.15844218
2020,Green Bay Packers,13,8.8041267,.20761703,.54960829,.12333865
2021,Green Bay Packers,13,9.1423721,.21031645,.53933793,.1664222
2022,Green Bay Packers,8,9.0953407,.20568168,.49125507,.15160835
2023,Green Bay Packers,9,8.7758789,.21484137,.52163798,.20990959
2024,Green Bay Packers,11,7.7219601,.23577417,.43086091,.08925961
2011,Houston Texans,10,6.8531342,.40657607,.47121054,.10203515
2012,Houston Texans,12,8.1491299,.29351342,.51279563,.1096507
2013,Houston Texans,2,9.2837524,.21297181,.53715307,.095005676
2014,Houston Texans,9,9.4610615,.25562662,.57167518,.1170366
2015,Houston Texans,9,9.2312908,.21845911,.46726447,.069319248
2016,Houston Texans,9,9.0023842,.20592852,.43957704,.094782017
2017,Houston Texans,4,8.8532352,.19938098,.49877024,.081085674
2018,Houston Texans,11,6.9504051,.29329935,.42073214,.026664734
2019,Houston Texans,10,9.4164047,.17301624,.46099523,.040378906
2020,Houston Texans,4,9.0875683,.16724536,.54170769,.068206593
2021,Houston Texans,4,9.4131584,.1754961,.50894791,.12747721
2022,Houston Texans,3.5,9.710392,.16455707,.47473499,.10196573
2023,Houston Texans,10,9.200489,.26053911,.56351459,.047662303
2024,Houston Texans,10,8.5331802,.23316222,.5066095,.05993674
2011,Indianapolis Colts,2,8.1244869,.31872714,.53019249,.16758586
2012,Indianapolis Colts,11,8.6458225,.30939037,.42891678,.13355859
2013,Indianapolis Colts,11,8.7798862,.24905838,.43930241,.066344298
2014,Indianapolis Colts,11,8.0698166,.24447046,.40049541,.079140618
2015,Indianapolis Colts,8,8.3100662,.20374399,.38274199,.078539364
2016,Indianapolis Colts,8,8.5054531,.13727655,.54079604,.13255337
2017,Indianapolis Colts,4,8.21451,.16010417,.52198988,.14162965
2018,Indianapolis Colts,10,8.1688709,.26354361,.66046947,.17910662
2019,Indianapolis Colts,7,5.4903107,.1978014,.56713235,.15949422
2020,Indianapolis Colts,11,5.882679,.18965293,.62957448,.24440451
2021,Indianapolis Colts,9,8.8261318,.21411067,.54325587,.12274422
2022,Indianapolis Colts,4.5,9.4387245,.20773649,.47295475,.10974307
2023,Indianapolis Colts,9,9.1570721,.20165683,.51949918,.13540132
2024,Indianapolis Colts,8,7.2171535,.21448463,.55089825,.056150042
2011,Jacksonville Jaguars,5,8.4498959,.29114702,.48256466,.047934104
2012,Jacksonville Jaguars,2,8.8091412,.32426268,.49746978,.046671756
2013,Jacksonville Jaguars,4,9.295599,.34339115,.5174548,.07055337
2014,Jacksonville Jaguars,3,7.6184006,.29870045,.46017921,.089046754
2015,Jacksonville Jaguars,5,7.4543209,.27846712,.46735093,.060625024
2016,Jacksonville Jaguars,3,8.2981815,.28033033,.45849925,.072206929
2017,Jacksonville Jaguars,10,7.7865353,.26376116,.44136259,.059403528
2018,Jacksonville Jaguars,5,8.4285603,.22127984,.41106603,.056017272
2019,Jacksonville Jaguars,6,7.9376888,.21739854,.4920302,.15049024
2020,Jacksonville Jaguars,1,8.8526287,.26004553,.48291945,.11667796
2021,Jacksonville Jaguars,3,7.8622093,.27504352,.5029757,.05052771
2022,Jacksonville Jaguars,9,7.0651779,.28116316,.40420395,.050377201
2023,Jacksonville Jaguars,9,7.6587563,.38184756,.49949947,.057282407
2024,Jacksonville Jaguars,4,9.4358902,.21996319,.53481555,.075749211
2011,Kansas City Chiefs,7,6.1257954,.45098954,.4625816,.15795353
2012,Kansas City Chiefs,2,6.2195473,.35138655,.39822876,.069127217
2013,Kansas City Chiefs,11,7.0438709,.32953861,.480654,.11690647
2014,Kansas City Chiefs,9,8.0301228,.30544499,.44103059,.066605173
2015,Kansas City Chiefs,11,8.13801,.2585296,.49640232,.15184028
2016,Kansas City Chiefs,12,5.6550846,.24320832,.482674,.1333425
2017,Kansas City Chiefs,10,7.965519,.17414002,.41945297,.12767787
2018,Kansas City Chiefs,12,8.8375111,.24664482,.48219278,.056884144
2019,Kansas City Chiefs,12,9.0050182,.30183661,.53648382,.05671769
2020,Kansas City Chiefs,14,7.9078789,.097244062,.47881347,.037933253
2021,Kansas City Chiefs,12,9.2211533,.16909203,.42487556,.051907502
2022,Kansas City Chiefs,14,8.0398121,.2026058,.54686493,.18921094
2023,Kansas City Chiefs,11,6.8126373,.20628175,.53029042,.17683914
2024,Kansas City Chiefs,15,7.3869934,.20988166,.64652514,.1592038
2011,Las Vegas Raiders,8,6.0115852,.42407808,.48289576,.075724557
2012,Las Vegas Raiders,4,6.7879391,.3688063,.34839967,.03201288
2013,Las Vegas Raiders,4,7.3713055,.38870397,.43525946,.11425748
2014,Las Vegas Raiders,3,8.8443203,.22074878,.45064336,.099924624
2015,Las Vegas Raiders,7,6.0536022,.29486337,.44853547,.024966689
2016,Las Vegas Raiders,12,8.0242043,.27183372,.46274996,.028182313
2017,Las Vegas Raiders,6,7.1339855,.26461864,.59005964,.10378502
2018,Las Vegas Raiders,4,8.8700275,.2072788,.62607807,.14630814
2019,Las Vegas Raiders,7,8.803484,.20847684,.60338801,.14925833
2020,Las Vegas Raiders,8,7.8212223,.19879988,.60036832,.14783676
2021,Las Vegas Raiders,10,8.4049187,.23433092,.57014048,.14719348
2022,Las Vegas Raiders,6,8.9812317,.27081874,.51170915,.10717527
2023,Las Vegas Raiders,8,8.7315388,.14280404,.55297798,.064524233
2024,Las Vegas Raiders,4,8.1178837,.21961084,.4581224,.075106546
2011,Los Angeles Chargers,8,7.6446552,.19267677,.62708139,.13153689
2012,Los Angeles Chargers,7,7.82164,.25292265,.56711322,.13152868
2013,Los Angeles Chargers,9,7.7523861,.24040753,.59321767,.13280652
2014,Los Angeles Chargers,9,8.0783062,.20540099,.56647533,.13360937
2015,Los Angeles Chargers,4,8.5911293,.18601166,.55760443,.16444643
2016,Los Angeles Chargers,5,5.9391136,.24958228,.51756406,.11050338
2017,Los Angeles Chargers,9,8.7179527,.20786901,.54976362,.12446186
2018,Los Angeles Chargers,12,7.4040794,.2664645,.55756778,.13046212
2019,Los Angeles Chargers,5,9.2675858,.24989091,.56927842,.14701118
2020,Los Angeles Chargers,7,8.430809,.23894645,.47655609,.066776387
2021,Los Angeles Chargers,9,5.7505264,.32638085,.51082367,.048949186
2022,Los Angeles Chargers,10,8.2469692,.227329,.48527408,.048486736
2023,Los Angeles Chargers,5,8.7859554,.20000805,.46219015,.046444882
2024,Los Angeles Chargers,11,8.1962986,.21696122,.42424074,.084344059
2011,Los Angeles Rams,2,4.5640402,.48649046,.59742105,.13821431
2012,Los Angeles Rams,7.5,6.3332729,.31632227,.54077131,.13882785
2013,Los Angeles Rams,7,4.5648432,.31922987,.44051406,.10771731
2014,Los Angeles Rams,6,5.7495403,.41705546,.51340747,.15514673
2015,Los Angeles Rams,7,6.9941273,.3683219,.45779037,.062852047
2016,Los Angeles Rams,4,7.5260506,.2842941,.46806508,.10993966
2017,Los Angeles Rams,11,6.4023285,.3076385,.44484729,.056448154
2018,Los Angeles Rams,13,5.8315163,.24169466,.3964521,.049238794
2019,Los Angeles Rams,9,8.6477871,.18110292,.49040335,.065011322
2020,Los Angeles Rams,10,8.4173622,.17463821,.59955794,.15143114
2021,Los Angeles Rams,12,7.9545021,.17815377,.59581923,.25089905
2022,Los Angeles Rams,5,9.1343727,.16972989,.46641091,.083137415
2023,Los Angeles Rams,10,8.8494396,.15086715,.52199125,.10117537
2024,Los Angeles Rams,10,8.2664738,.16210166,.71524566,.19712365
2011,Miami Dolphins,6,7.279562,.29447719,.50605315,.038774218
2012,Miami Dolphins,7,7.7800694,.34273228,.52936995,.059875939
2013,Miami Dolphins,8,6.9061165,.25938779,.39351943,.052211631
2014,Miami Dolphins,8,8.2472744,.23165916,.47008559,.063276462
2015,Miami Dolphins,6,7.2597389,.19444695,.42321306,.051772173
2016,Miami Dolphins,10,7.6384144,.20267396,.43268543,.088391781
2017,Miami Dolphins,6,8.7927971,.16114925,.48608735,.19302443
2018,Miami Dolphins,7,7.3515129,.2325287,.47096109,.06244345
2019,Miami Dolphins,5,8.0602074,.19530517,.43719271,.14533186
2020,Miami Dolphins,10,8.0893402,.30241117,.37806916,.092330299
2021,Miami Dolphins,9,8.707243,.29414192,.49025247,.062376857
2022,Miami Dolphins,9,8.6307888,.29991519,.51425248,.07484971
2023,Miami Dolphins,11,8.145752,.29034954,.47855866,.059469189
2024,Miami Dolphins,8,8.1018238,.14458267,.44768491,.057177942
2011,Minnesota Vikings,3,8.2603512,.24168856,.44235986,.066063501
2012,Minnesota Vikings,10,7.1701164,.23564471,.43915802,.032827865
2013,Minnesota Vikings,5.5,7.3052959,.25409323,.49766538,.071719602
2014,Minnesota Vikings,7,8.5237656,.2689645,.56192797,.079888612
2015,Minnesota Vikings,11,7.8954601,.25916144,.5714879,.035843913
2016,Minnesota Vikings,8,8.2789822,.28110313,.52643144,.080312699
2017,Minnesota Vikings,13,9.4159679,.2081133,.48506561,.14684291
2018,Minnesota Vikings,8.5,8.4617691,.2371926,.46106961,.13464326
2019,Minnesota Vikings,10,8.3314037,.18347409,.48424456,.1572548
2020,Minnesota Vikings,7,9.6497574,.17962469,.48710841,.11213259
2021,Minnesota Vikings,8,7.4247665,.23233223,.47081622,.17763801
2022,Minnesota Vikings,13,8.5485497,.24314563,.50795281,.161561
2023,Minnesota Vikings,7,9.7389908,.21803497,.50942802,.11482909
2024,Minnesota Vikings,14,9.6069946,.15496619,.55386847,.16178134
2011,New England Patriots,13,8.8998108,.26208323,.57415932,.13035175
2012,New England Patriots,12,9.1228447,.21299341,.51070976,.070757926
2013,New England Patriots,12,9.4145908,.23847274,.5225426,.1177386
2014,New England Patriots,12,6.3564167,.29770464,.52590317,.11623802
2015,New England Patriots,12,9.2009029,.20115943,.52827203,.10491913
2016,New England Patriots,14,7.0590591,.2292278,.54793012,.10323714
2017,New England Patriots,13,9.1390648,.12482147,.51210254,.093824774
2018,New England Patriots,11,9.1243095,.16201375,.50773489,.13314083
2019,New England Patriots,12,9.8532715,.13099885,.5072363,.12539344
2020,New England Patriots,7,7.8007717,.26159388,.50661069,.08777637
2021,New England Patriots,10,9.5428886,.18386841,.43744045,.042075455
2022,New England Patriots,8,8.4385605,.2348292,.50220895,.032012515
2023,New England Patriots,4,8.1303253,.20243169,.49367848,.035954513
2024,New England Patriots,4,9.8863449,.20128736,.47868112,.077306636
2011,New Orleans Saints,13,7.691658,.22868739,.52721196,.12507042
2012,New Orleans Saints,7,7.5256824,.2411397,.49634787,.095489733
2013,New Orleans Saints,11,8.2832279,.21120794,.50343955,.14739709
2014,New Orleans Saints,7,8.3166466,.18603738,.56273985,.14530452
2015,New Orleans Saints,7,7.8214092,.15744558,.56443292,.17709103
2016,New Orleans Saints,7,8.74156,.19280845,.46769139,.12869777
2017,New Orleans Saints,11,8.7977142,.22652738,.55797011,.12974223
2018,New Orleans Saints,13,9.4016991,.20194161,.57924455,.15389657
2019,New Orleans Saints,13,8.2354851,.24587765,.56259722,.15618318
2020,New Orleans Saints,12,7.7044106,.20704716,.56128263,.18337129
2021,New Orleans Saints,9,9.0590401,.14388791,.50423723,.12236299
2022,New Orleans Saints,7,8.819458,.13525449,.58333868,.10609896
2023,New Orleans Saints,9,9.7438869,.14796939,.49504474,.058647726
2024,New Orleans Saints,5,9.2694931,.18671784,.55234677,.071070693
2011,New York Giants,9,8.2690086,.22697076,.49794793,.15113321
2012,New York Giants,9,7.5768185,.22230615,.4217428,.080787413
2013,New York Giants,7,8.8447132,.200652,.52474242,.17146869
2014,New York Giants,6,8.8021812,.21739249,.54279715,.16021805
2015,New York Giants,6,9.2358665,.23496851,.52377385,.11882193
2016,New York Giants,11,7.9940338,.17744648,.48036298,.16523626
2017,New York Giants,3,7.6009884,.24802497,.44433808,.12876494
2018,New York Giants,5,8.553421,.21572483,.491404,.13819405
2019,New York Giants,4,8.6384544,.22402214,.5756864,.15479471
2020,New York Giants,6,6.5809193,.32545218,.49553856,.047913961
2021,New York Giants,4,7.7917767,.47285941,.52239835,.049022201
2022,New York Giants,9.5,6.2151394,.36668381,.49438059,.056383684
2023,New York Giants,6,8.8045368,.23984075,.52939272,.10493966
2024,New York Giants,3,8.1385784,.22639285,.54570872,.21227056
2011,New York Jets,8,5.7416306,.3564187,.50595474,.14929111
2012,New York Jets,6,6.6548309,.22733478,.43880609,.074553214
2013,New York Jets,8,8.3110313,.20302373,.48297885,.12703514
2014,New York Jets,4,9.2706757,.24031851,.5679667,.086942643
2015,New York Jets,10,8.2191944,.23031476,.48159653,.034712799
2016,New York Jets,5,8.9247532,.19292854,.47838598,.063940324
2017,New York Jets,5,8.3257027,.22880584,.46744257,.092021875
2018,New York Jets,4,8.7812309,.20964475,.51203573,.10189219
2019,New York Jets,7,7.6572361,.27657735,.46011332,.050980318
2020,New York Jets,2,7.8012829,.24790218,.54185736,.059761778
2021,New York Jets,4,8.1933212,.27198717,.54320455,.065728426
2022,New York Jets,7,8.2671032,.31356832,.53427643,.072246969
2023,New York Jets,7,8.4330044,.28404352,.50216806,.089970253
2024,New York Jets,5,8.8259087,.25462154,.4862538,.11310008
2011,Philadelphia Eagles,8,7.8128948,.28605711,.45679346,.16322863
2012,Philadelphia Eagles,4,9.0204506,.26659945,.55877978,.15811777
2013,Philadelphia Eagles,10,8.5179749,.31437927,.60082376,.10657141
2014,Philadelphia Eagles,10,6.8989162,.26038322,.55678374,.028080473
2015,Philadelphia Eagles,7,6.6820412,.19624497,.52825463,.1176003
2016,Philadelphia Eagles,7,9.1255665,.15722904,.53376138,.10914142
2017,Philadelphia Eagles,13,7.9299431,.16122492,.54931909,.11566334
2018,Philadelphia Eagles,9,8.0100307,.19011913,.52022552,.12543988
2019,Philadelphia Eagles,9,8.6770306,.22005823,.52798539,.09800937
2020,Philadelphia Eagles,4.5,9.1984863,.16480763,.56268549,.10852069
2021,Philadelphia Eagles,9,8.8367195,.19624509,.61063904,.19853891
2022,Philadelphia Eagles,14,7.8307056,.21770279,.41309956,.033060115
2023,Philadelphia Eagles,11,9.1928024,.20698355,.46104428,.038315002
2024,Philadelphia Eagles,14,9.6852283,.18424442,.48620567,.07919243
2011,Pittsburgh Steelers,12,6.6489525,.2299954,.44067591,.12431893
2012,Pittsburgh Steelers,8,7.1263504,.19915012,.42845294,.08028736
2013,Pittsburgh Steelers,8,9.8538418,.21930666,.4386948,.12269423
2014,Pittsburgh Steelers,11,8.8365078,.15658931,.45591658,.16169143
2015,Pittsburgh Steelers,10,9.1041279,.18631838,.46080697,.14670464
2016,Pittsburgh Steelers,11,8.2784252,.1668542,.55794287,.17024045
2017,Pittsburgh Steelers,13,8.5566311,.12468986,.6180805,.12862504
2018,Pittsburgh Steelers,9.5,9.0867691,.20808512,.51142097,.15405157
2019,Pittsburgh Steelers,8,9.0937023,.19640802,.53028357,.13675761
2020,Pittsburgh Steelers,12,9.6174183,.18065061,.44555372,.13324022
2021,Pittsburgh Steelers,9.5,8.448164,.20545681,.47422677,.16976154
2022,Pittsburgh Steelers,9,9.0005989,.16429146,.38475886,.097884864
2023,Pittsburgh Steelers,10,7.9242764,.13856408,.40935916,.045537733
2024,Pittsburgh Steelers,10,8.84161,.17669661,.38348976,.05626519
2011,San Francisco 49ers,13,9.8458099,.29586902,.48489434,.061382703
2012,San Francisco 49ers,11.5,8.6890068,.19861409,.43704593,.07974942
2013,San Francisco 49ers,12,8.0287704,.26966372,.4833228,.020250659
2014,San Francisco 49ers,8,9.4963951,.2820003,.50327283,.04828633
2015,San Francisco 49ers,5,8.5576363,.18737693,.50624835,.12663262
2016,San Francisco 49ers,2,8.334547,.20824467,.50236356,.15121807
2017,San Francisco 49ers,6,9.2300014,.38722607,.49907202,.081099696
2018,San Francisco 49ers,4,7.1477242,.30918136,.60792023,.2042962
2019,San Francisco 49ers,13,8.5304737,.32793167,.49185324,.097661413
2020,San Francisco 49ers,6,7.2794361,.32910708,.52951276,.13895462
2021,San Francisco 49ers,10,9.0104561,.29077786,.52709335,.1693971
2022,San Francisco 49ers,13,8.0011673,.30018112,.45962307,.1183877
2023,San Francisco 49ers,12,8.934166,.22016634,.46283799,.080463685
2024,San Francisco 49ers,6,7.2925644,.17333926,.45618263,.043175653
2011,Seattle Seahawks,7,7.0034885,.39776042,.54697078,.071730539
